win007_team_name,sofascore_team_id,sofascore_team_name,sofascore_team_short_name,sofascore_slug,sofascore_team_name_code,sofascore_team_url,sofascore_league
海登海姆,5885,1. FC Heidenheim,Heidenheim,1-fc-heidenheim,SCH,https://www.sofascore.com/football/team/1-fc-heidenheim/5885,Bundesliga
科隆,2671,1. FC Köln,Köln,1-fc-koln,KOE,https://www.sofascore.com/football/team/1-fc-koln/2671,Bundesliga
柏林联合,2547,1. FC Union Berlin,Union Berlin,1-fc-union-berlin,FCU,https://www.sofascore.com/football/team/1-fc-union-berlin/2547,Bundesliga
美因茨,2556,1. FSV Mainz 05,Mainz 05,1-fsv-mainz-05,M05,https://www.sofascore.com/football/team/1-fsv-mainz-05/2556,Bundesliga
摩纳哥,1653,AS Monaco,AS Monaco,as-monaco,ASM,https://www.sofascore.com/football/team/as-monaco/1653,Ligue 1
昂热,1684,Angers,Angers,angers,ANG,https://www.sofascore.com/football/team/angers/1684,Ligue 1
阿森纳,42,Arsenal,Arsenal,arsenal,ARS,https://www.sofascore.com/football/team/arsenal/42,EPL
阿斯顿维拉,40,Aston Villa,Aston Villa,aston-villa,AVL,https://www.sofascore.com/football/team/aston-villa/40,EPL
亚特兰大,2686,Atalanta,Atalanta,atalanta,ATA,https://www.sofascore.com/football/team/atalanta/2686,Serie A
毕尔巴鄂竞技,2825,Athletic Club,Athletic Club,athletic-club,ATH,https://www.sofascore.com/football/team/athletic-club/2825,La Liga
马德里竞技,2836,Atlético Madrid,Atl. Madrid,atletico-madrid,ATM,https://www.sofascore.com/football/team/atletico-madrid/2836,La Liga
欧塞尔,1646,Auxerre,Auxerre,auxerre,AJA,https://www.sofascore.com/football/team/auxerre/1646,Ligue 1
巴塞罗那,2817,Barcelona,Barcelona,barcelona,BAR,https://www.sofascore.com/football/team/barcelona/2817,La Liga
勒沃库森,2681,Bayer 04 Leverkusen,Leverkusen,bayer-04-leverkusen,B04,https://www.sofascore.com/football/team/bayer-04-leverkusen/2681,Bundesliga
博洛尼亚,2685,Bologna,Bologna,bologna,BOL,https://www.sofascore.com/football/team/bologna/2685,Serie A
多特蒙德,2673,Borussia Dortmund,Dortmund,borussia-dortmund,BVB,https://www.sofascore.com/football/team/borussia-dortmund/2673,Bundesliga
门兴格拉德巴赫,2527,Borussia M'gladbach,M'gladbach,borussia-mgladbach,BMG,https://www.sofascore.com/football/team/borussia-mgladbach/2527,Bundesliga
伯恩茅斯,60,Bournemouth,Bournemouth,bournemouth,BOU,https://www.sofascore.com/football/team/bournemouth/60,EPL
布伦特福德,50,Brentford,Brentford,brentford,BRE,https://www.sofascore.com/football/team/brentford/50,EPL
布莱顿,30,Brighton & Hove Albion,Brighton,brighton-and-hove-albion,BHA,https://www.sofascore.com/football/team/brighton-and-hove-albion/30,EPL
伯恩利,6,Burnley,Burnley,burnley,BUR,https://www.sofascore.com/football/team/burnley/6,EPL
卡利亚里,2719,Cagliari,Cagliari,cagliari,CAG,https://www.sofascore.com/football/team/cagliari/2719,Serie A
塞尔塔,2821,Celta Vigo,Celta,celta-vigo,CEL,https://www.sofascore.com/football/team/celta-vigo/2821,La Liga
切尔西,38,Chelsea,Chelsea,chelsea,CHE,https://www.sofascore.com/football/team/chelsea/38,EPL
科莫,2704,Como,Como,como,COM,https://www.sofascore.com/football/team/como/2704,Serie A
克雷莫纳,2761,Cremonese,Cremonese,cremonese,CRE,https://www.sofascore.com/football/team/cremonese/2761,Serie A
水晶宫,7,Crystal Palace,Crystal Palace,crystal-palace,CRY,https://www.sofascore.com/football/team/crystal-palace/7,EPL
阿拉维斯,2885,Deportivo Alavés,Alavés,deportivo-alaves,ALA,https://www.sofascore.com/football/team/deportivo-alaves/2885,La Liga
