match_id,minute,momentum_value,dominant_team,abs_value
15171803,1.0,2,home,2
15171803,2.0,-4,away,4
15171803,3.0,-11,away,11
15171803,4.0,-29,away,29
15171803,5.0,-19,away,19
15171803,6.0,-9,away,9
15171803,7.0,-17,away,17
15171803,8.0,-67,away,67
15171803,9.0,-37,away,37
15171803,10.0,-28,away,28
15171803,11.0,-19,away,19
15171803,12.0,15,home,15
15171803,13.0,4,home,4
15171803,14.0,-55,away,55
15171803,15.0,-64,away,64
15171803,16.0,-39,away,39
15171803,17.0,-33,away,33
15171803,18.0,-75,away,75
15171803,19.0,-50,away,50
15171803,20.0,-68,away,68
15171803,21.0,-48,away,48
15171803,22.0,-42,away,42
15171803,23.0,-29,away,29
15171803,24.0,-30,away,30
15171803,25.0,-9,away,9
15171803,26.0,-19,away,19
15171803,27.0,-33,away,33
15171803,28.0,-24,away,24
15171803,29.0,30,home,30
15171803,30.0,9,home,9
15171803,31.0,8,home,8
15171803,32.0,-9,away,9
15171803,33.0,-9,away,9
15171803,34.0,-17,away,17
15171803,35.0,-18,away,18
15171803,36.0,-26,away,26
15171803,37.0,-36,away,36
15171803,38.0,-22,away,22
15171803,39.0,-36,away,36
15171803,40.0,-7,away,7
15171803,41.0,-11,away,11
15171803,42.0,-28,away,28
15171803,43.0,-30,away,30
15171803,44.0,-22,away,22
15171803,45.0,-63,away,63
15171803,45.5,-3,away,3
15171803,46.0,-7,away,7
15171803,47.0,-9,away,9
15171803,48.0,-54,away,54
15171803,49.0,-62,away,62
15171803,50.0,-36,away,36
15171803,51.0,-54,away,54
15171803,52.0,-42,away,42
15171803,53.0,-33,away,33
15171803,54.0,-26,away,26
15171803,55.0,-24,away,24
15171803,56.0,-11,away,11
15171803,57.0,-7,away,7
15171803,58.0,-23,away,23
15171803,59.0,-73,away,73
15171803,60.0,-45,away,45
15171803,61.0,-62,away,62
15171803,62.0,-38,away,38
15171803,63.0,-23,away,23
15171803,64.0,-71,away,71
15171803,65.0,-34,away,34
15171803,66.0,-2,away,2
15171803,67.0,-46,away,46
15171803,68.0,-36,away,36
15171803,69.0,-22,away,22
15171803,70.0,-11,away,11
15171803,71.0,-16,away,16
15171803,72.0,-9,away,9
15171803,73.0,24,home,24
15171803,74.0,18,home,18
15171803,75.0,2,home,2
15171803,76.0,-9,away,9
15171803,77.0,-22,away,22
15171803,78.0,-63,away,63
15171803,79.0,-37,away,37
15171803,80.0,-31,away,31
15171803,81.0,-28,away,28
15171803,82.0,-29,away,29
15171803,83.0,-14,away,14
15171803,84.0,-9,away,9
15171803,85.0,-7,away,7
15171803,86.0,-4,away,4
15171803,87.0,-2,away,2
15171803,88.0,-42,away,42
15171803,89.0,-25,away,25
15171803,90.0,-28,away,28
15171803,90.5,8,home,8
