match_id,company_id,时间,比分,主队胜,和局,客队胜,变化时间,状态
2789293,8,95,1-0,1.01,26.00,501.00,12-23 05:59,滚
2789293,8,95,1-0,1.01,23.00,501.00,12-23 05:59,滚
2789293,8,94,1-0,1.01,21.00,501.00,12-23 05:58,滚
2789293,8,94,1-0,1.02,19.00,501.00,12-23 05:58,滚
2789293,8,94,1-0,1.02,17.00,501.00,12-23 05:58,滚
2789293,8,93,1-0,1.03,15.00,501.00,12-23 05:57,滚
2789293,8,93,1-0,1.03,15.00,451.00,12-23 05:57,滚
2789293,8,93,1-0,1.03,13.00,401.00,12-23 05:57,滚
2789293,8,92,1-0,1.04,13.00,351.00,12-23 05:57,滚
2789293,8,92,1-0,1.04,13.00,301.00,12-23 05:56,滚
2789293,8,92,1-0,1.05,11.00,251.00,12-23 05:56,滚
2789293,8,91,1-0,1.05,11.00,201.00,12-23 05:55,滚
2789293,8,91,1-0,1.06,10.00,201.00,12-23 05:55,滚
2789293,8,91,1-0,1.06,10.00,151.00,12-23 05:55,滚
2789293,8,90,1-0,1.07,9.00,151.00,12-23 05:54,滚
2789293,8,89,1-0,1.08,8.00,126.00,12-23 05:53,滚
2789293,8,89,1-0,1.10,7.00,101.00,12-23 05:53,滚
2789293,8,89,1-0,1.11,6.50,67.00,12-23 05:53,滚
2789293,8,89,1-0,1.12,6.00,67.00,12-23 05:53,滚
2789293,8,88,1-0,1.11,6.50,81.00,12-23 05:52,滚
2789293,8,87,1-0,1.12,6.00,81.00,12-23 05:51,滚
2789293,8,86,1-0,1.12,6.00,67.00,12-23 05:51,滚
2789293,8,86,1-0,1.14,5.50,67.00,12-23 05:50,滚
2789293,8,86,1-0,1.14,5.50,51.00,12-23 05:50,滚
2789293,8,86,1-0,1.14,5.50,67.00,12-23 05:50,滚
2789293,8,86,1-0,1.14,5.50,51.00,12-23 05:50,滚
2789293,8,86,1-0,1.14,5.50,67.00,12-23 05:50,滚
2789293,8,85,1-0,1.16,5.50,51.00,12-23 05:49,滚
2789293,8,85,1-0,1.16,5.00,51.00,12-23 05:49,滚
2789293,8,85,1-0,1.14,5.50,51.00,12-23 05:49,滚
2789293,8,85,1-0,1.16,5.50,51.00,12-23 05:49,滚
2789293,8,84,1-0,1.16,5.00,51.00,12-23 05:49,滚
2789293,8,83,1-0,1.18,5.00,51.00,12-23 05:47,滚
2789293,8,83,1-0,1.18,4.75,51.00,12-23 05:47,滚
2789293,8,82,1-0,1.20,4.75,41.00,12-23 05:46,滚
2789293,8,82,1-0,1.22,4.50,41.00,12-23 05:46,滚
2789293,8,82,1-0,1.20,4.50,41.00,12-23 05:46,滚
2789293,8,81,1-0,1.22,4.50,41.00,12-23 05:45,滚
2789293,8,81,1-0,1.22,4.33,41.00,12-23 05:45,滚
2789293,8,80,1-0,1.25,4.33,29.00,12-23 05:44,滚
2789293,8,80,1-0,1.25,4.00,29.00,12-23 05:44,滚
2789293,8,79,1-0,1.28,4.00,29.00,12-23 05:44,滚
2789293,8,79,1-0,1.25,4.33,29.00,12-23 05:43,滚
2789293,8,79,1-0,1.25,4.33,34.00,12-23 05:43,滚
2789293,8,79,1-0,1.25,4.33,29.00,12-23 05:43,滚
2789293,8,78,1-0,1.25,4.33,34.00,12-23 05:43,滚
2789293,8,78,1-0,1.25,4.33,29.00,12-23 05:42,滚
2789293,8,78,1-0,1.28,4.33,29.00,12-23 05:42,滚
2789293,8,78,1-0,1.28,4.33,26.00,12-23 05:42,滚
2789293,8,77,1-0,1.25,4.33,29.00,12-23 05:41,滚
2789293,8,77,1-0,1.28,4.00,23.00,12-23 05:41,滚
2789293,8,77,1-0,1.25,4.33,26.00,12-23 05:41,滚
2789293,8,76,1-0,1.25,4.33,23.00,12-23 05:40,滚
2789293,8,76,1-0,1.25,4.33,26.00,12-23 05:40,滚
2789293,8,75,1-0,1.25,4.33,23.00,12-23 05:39,滚
2789293,8,75,1-0,1.25,4.33,26.00,12-23 05:39,滚
2789293,8,74,1-0,1.25,4.33,23.00,12-23 05:38,滚
2789293,8,74,1-0,1.28,4.00,23.00,12-23 05:38,滚
2789293,8,74,1-0,1.28,4.00,21.00,12-23 05:38,滚
2789293,8,73,1-0,1.30,4.00,21.00,12-23 05:38,滚
2789293,8,73,1-0,1.28,4.33,21.00,12-23 05:37,滚
2789293,8,73,1-0,1.30,4.00,21.00,12-23 05:37,滚
2789293,8,73,1-0,1.30,4.00,19.00,12-23 05:37,滚
2789293,8,73,1-0,1.30,4.00,21.00,12-23 05:37,滚
2789293,8,72,1-0,1.30,4.00,19.00,12-23 05:36,滚
2789293,8,72,1-0,1.30,4.00,21.00,12-23 05:36,滚
2789293,8,72,1-0,1.30,4.00,19.00,12-23 05:36,滚
2789293,8,72,1-0,1.33,4.00,19.00,12-23 05:36,滚
2789293,8,72,1-0,1.30,4.00,19.00,12-23 05:36,滚
2789293,8,71,1-0,1.33,4.00,17.00,12-23 05:36,滚
2789293,8,71,1-0,1.33,4.00,19.00,12-23 05:35,滚
2789293,8,71,1-0,1.33,4.00,17.00,12-23 05:35,滚
2789293,8,70,1-0,1.36,4.00,15.00,12-23 05:34,滚
2789293,8,70,1-0,1.36,3.75,15.00,12-23 05:34,滚
2789293,8,70,1-0,1.36,4.00,15.00,12-23 05:34,滚
2789293,8,70,1-0,1.36,3.75,15.00,12-23 05:34,滚
2789293,8,70,1-0,1.36,4.00,15.00,12-23 05:34,滚
2789293,8,69,1-0,1.36,3.75,13.00,12-23 05:34,滚
2789293,8,69,1-0,1.33,4.00,15.00,12-23 05:33,滚
2789293,8,69,1-0,1.33,4.00,13.00,12-23 05:33,滚
2789293,8,68,1-0,1.36,3.75,13.00,12-23 05:32,滚
2789293,8,66,1-0,1.40,3.75,12.00,12-23 05:31,滚
2789293,8,65,1-0,1.40,3.75,11.00,12-23 05:29,滚
2789293,8,64,1-0,1.44,3.60,11.00,12-23 05:28,滚
2789293,8,64,1-0,1.44,3.60,10.00,12-23 05:28,滚
2789293,8,63,1-0,1.44,3.75,10.00,12-23 05:28,滚
2789293,8,63,1-0,1.44,3.75,11.00,12-23 05:27,滚
2789293,8,63,1-0,1.44,3.75,10.00,12-23 05:27,滚
