match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,1129,148846085,Lottery Official,1.37,4.05,6.7,64.82,21.93,13.25,88.8,1.37,4.05,6.7,64.82,21.93,13.25,88.8,0.87,0.90,0.99,"2025,12-1,23,03,01,00",竞彩官*,1,0
2894738,281,148529630,Bet 365,1.53,4.2,5.75,61.34,22.34,16.32,93.84,1.46,4.33,6.25,63.66,21.47,14.87,92.95,0.92,0.96,0.92,"2025,12-1,23,19,11,00",36*(英国),1,0
2894738,80,148739350,Macauslot,1.5,3.81,5.1,59.25,23.33,17.43,88.87,1.45,4.15,5.1,61.21,21.39,17.4,88.75,0.92,0.92,0.75,"2025,12-1,23,18,50,00",澳*,1,0
2894738,432,148832118,HK Jockey Club,1.36,4,6.7,64.81,22.04,13.16,88.14,1.38,4.05,6.2,63.97,21.8,14.24,88.27,0.87,0.90,0.91,"2025,12-1,23,19,53,00",香港马*(中国香港),1,0
2894738,115,148367241,William Hill,1.6,3.9,5,57.79,23.71,18.49,92.47,1.5,4,6,61.54,23.08,15.38,92.31,0.95,0.89,0.88,"2025,12-1,23,19,44,00",威*(英国),1,0
2894738,82,148525328,Ladbrokes,1.57,4,5.75,60.04,23.57,16.39,94.26,1.5,4.33,6,62.64,21.7,15.66,93.96,0.95,0.96,0.88,"2025,12-1,23,19,51,00",立*(英国),1,0
2894738,81,148713527,Vcbet,1.53,3.75,5.75,59.73,24.37,15.89,91.39,1.5,4.33,6.5,63.4,21.96,14.63,95.11,0.95,0.96,0.96,"2025,12-1,23,19,52,00",伟*(直布罗陀),1,0
2894738,90,148736850,Easybets,1.62,4,5.5,58.84,23.83,17.33,95.32,1.5,4.4,6.5,63.63,21.69,14.68,95.44,0.95,0.97,0.96,"2025,12-1,23,19,56,00",易*(安提瓜和巴布达),1,0
2894738,104,148402681,Interwetten,1.6,3.9,5,57.79,23.71,18.49,92.47,1.52,4.25,6,62.07,22.2,15.73,94.35,0.96,0.94,0.88,"2025,12-1,23,19,56,00",Interwet*(塞浦路斯),1,0
2894738,16,148367472,10BET,1.59,4.1,5.2,59.05,22.9,18.05,93.88,1.5,4.5,6.2,63.48,21.16,15.36,95.22,0.95,1.00,0.91,"2025,12-1,23,19,56,00",10*(英国),1,0
2894738,18,148413579,12bet,1.53,3.7,5.1,58.36,24.13,17.51,89.29,1.48,4.5,6.8,64.66,21.27,14.07,95.7,0.93,1.00,1.00,"2025,12-1,23,19,56,00",12*(菲律宾),1,0
2894738,976,147148483,18Bet,1.54,3.9,5.5,59.71,23.58,16.72,91.95,1.46,4.3,6.25,63.57,21.58,14.85,92.81,0.92,0.95,0.92,"2025,12-1,23,20,00,00",18*,1,0
2894738,255,148508680,Bwin,1.58,4,5.75,59.89,23.66,16.46,94.62,1.51,4.4,6,62.7,21.52,15.78,94.68,0.95,0.97,0.88,"2025,12-1,23,19,54,00",Bwi*(奥地利),1,0
2894738,88,148540683,Coral,1.55,4,6,60.76,23.54,15.7,94.18,1.53,4.33,6,62.18,21.97,15.85,95.13,0.97,0.96,0.88,"2025,12-1,23,18,57,00",Cora*(英国),1,0
2894738,545,148362256,Crown,1.6,4.2,5.3,59.42,22.64,17.94,95.08,1.5,4.55,6.5,64.08,21.13,14.79,96.13,0.95,1.01,0.96,"2025,12-1,23,19,56,00",Crow*,1,0
2894738,649,148482536,IBCBET,1.49,3.75,5.6,60.12,23.89,16,89.58,1.51,4.3,6.5,63.15,22.18,14.67,95.36,0.95,0.95,0.96,"2025,12-1,23,19,19,00",IBC*(哥斯达黎加),1,0
2894738,177,148449314,Pinnacle,1.61,3.87,5.3,58.15,24.19,17.66,93.62,1.48,4.6,7.35,65.66,21.12,13.22,97.17,0.93,1.02,1.08,"2025,12-1,23,19,59,00",Pinna*(荷兰),1,0
2894738,422,148508727,Sportingbet,1.58,4,5.75,59.89,23.66,16.46,94.62,1.55,4.2,5.75,61.03,22.52,16.45,94.59,0.98,0.93,0.85,"2025,12-1,23,19,41,00",博天*(瓦努阿图),1,0
2894738,499,148362167,188bet,1.6,4.2,5.3,59.42,22.64,17.94,95.08,1.5,4.55,6.5,64.08,21.13,14.79,96.13,0.95,1.01,0.96,"2025,12-1,23,19,56,00",金宝*(马恩岛),1,0
2894738,474,148368049,Sbobet,1.53,3.71,5,58.19,24,17.81,89.04,1.48,4.15,6,62.37,22.24,15.39,92.31,0.93,0.92,0.88,"2025,12-1,23,19,59,00",利*(英国),1,0
2894738,517,148416607,Mansion88,1.53,3.7,5.1,58.36,24.13,17.51,89.29,1.48,4.45,6.8,64.51,21.45,14.04,95.47,0.93,0.99,1.00,"2025,12-1,23,19,55,00",明*(菲律宾),1,0
2894738,659,148379868,Wewbet,1.5,3.95,5.4,60.33,22.91,16.76,90.5,1.42,4.38,6.45,64.75,20.99,14.26,91.95,0.90,0.97,0.95,"2025,12-1,23,20,00,00",盈*(菲律宾),1,0
2894738,70,148482531,Expekt,1.5,3.85,5.8,60.67,23.64,15.69,91.01,1.53,4.25,6.3,62.39,22.46,15.15,95.45,0.97,0.94,0.93,"2025,12-1,23,19,41,00",Exp*(瑞典),0,0
2894738,110,148482530,SNAI,1.5,4.1,6,61.89,22.64,15.47,92.83,1.5,4.1,6,61.89,22.64,15.47,92.83,0.95,0.91,0.88,"2025,12-1,23,19,41,00",SNA*(意大利),0,0
2894738,2,148496810,Betfair,1.61,4.1,5.6,59.52,23.37,17.11,95.82,1.54,4.6,7,64.32,21.53,14.15,99.05,0.97,1.02,1.03,"2025,12-1,23,19,41,00",Betfai*(英国),0,1
2894738,665,148392068,Betsson,1.62,3.95,5.4,58.48,23.98,17.54,94.73,1.5,4.25,6.4,63,22.24,14.77,94.5,0.95,0.94,0.94,"2025,12-1,23,19,58,00",Bets*(瑞典),0,1
2894738,352,148798488,Matchbook,1.6,4,6,60,24,16,96,1.5,4.8,7.6,66.23,20.7,13.07,99.35,0.95,1.06,1.12,"2025,12-1,23,20,00,00",Matchb*(安提瓜和巴布达),0,1
2894738,800,148482551,Marathon,1.56,4.25,6.45,62.15,22.81,15.03,96.96,1.57,4.25,6.25,61.71,22.79,15.5,96.88,0.99,0.94,0.92,"2025,12-1,22,11,54,00",马*(荷属安的列斯群岛),0,0
2894738,386,148482532,Unibet,1.52,4.25,6.4,62.69,22.42,14.89,95.29,1.5,4.25,6,62.39,22.02,15.6,93.58,0.95,0.94,0.88,"2025,12-1,23,19,41,00",优胜*(马耳他),0,0
2894738,1017,148713385,BetVictor,1.53,3.75,5.75,59.73,24.37,15.89,91.39,1.5,4.33,6.5,63.4,21.96,14.63,95.11,0.95,0.96,0.96,"2025,12-1,23,19,58,00",BetVic*,1,0
2894738,777,148300204,1Bet,1.54,3.9,5.5,59.71,23.58,16.72,91.95,1.51,4.3,6.5,63.15,22.18,14.67,95.36,0.95,0.95,0.96,"2025,12-1,23,19,58,00",1Be*(直布罗陀),0,0
