match_id,company,初盘-主队,初盘盘口,初盘-客队,终盘-主队,终盘盘口,终盘-客队
2894738,澳*,1.02,一球,0.76,0.86,一球,0.92
2894738,Crow*,1.03,一球,0.85,0.85,一球,1.03
2894738,36*,1.02,一球,0.82,0.80,一球,1.05
2894738,易*,1.08,一球,0.80,0.84,一球,1.06
2894738,伟*,1.01,一球,0.79,0.81,一球,1.03
2894738,明*,1.02,一球,0.86,0.82,一球,1.11
2894738,金宝*,1.04,一球,0.86,0.84,一球,1.08
2894738,12*,1.02,一球,0.86,0.84,一球,1.08
2894738,利*,1.13,一球,0.78,0.86,一球,1.06
2894738,盈*维,1.03,一球,0.79,0.82,一球,1.08
2894738,18*,0.94,一球,0.79,1.04,一球/球半,0.75
2894738,平*,0.79,半球/一球,1.04,0.83,一球,1.09
2894738,香港马*,0.77,一球,1.00,1.07,一球/球半,0.75
2894738,威*,0.77,半球/一球,1.07,0.81,一球,0.84
2894738,Interwet*,0.97,一球,0.75,0.95,一球,0.80
2894738,1x*,0.22,平手,2.90,1.01,一球/球半,0.81
