match_id,company_id,时间,比分,大球,盘口,小球,变化时间,状态
2912041,8,时间,比分,大球,进球数,小球,变化时间,状态
2912041,8,91,[2:0],8.50,2.5,0.06,12-23 04:49,滚
2912041,8,91,[2:0],8.00,2.5,0.07,12-23 04:49,滚
2912041,8,91,[2:0],7.75,2.5,0.07,12-23 04:49,滚
2912041,8,91,[2:0],4.90,2.5,0.14,12-23 04:49,滚
2912041,8,90,[2:0],4.60,2.5,0.15,12-23 04:48,滚
2912041,8,90,[2:0],6.60,2.5,0.09,12-23 04:48,滚
2912041,8,90,[2:0],6.25,2.5,0.10,12-23 04:48,滚
2912041,8,90,[2:0],6.10,2.5,0.10,12-23 04:48,滚
2912041,8,90,[2:0],6.00,2.5,0.11,12-23 04:48,滚
2912041,8,89,[2:0],5.60,2.5,0.11,12-23 04:47,滚
2912041,8,89,[2:0],4.10,2.5,0.17,12-23 04:47,滚
2912041,8,89,[2:0],3.90,2.5,0.17,12-23 04:47,滚
2912041,8,88,[2:0],3.65,2.5,0.19,12-23 04:46,滚
2912041,8,88,[2:0],3.50,2.5,0.20,12-23 04:46,滚
2912041,8,88,[2:0],3.35,2.5,0.21,12-23 04:46,滚
2912041,8,88,[2:0],3.25,2.5,0.22,12-23 04:46,滚
2912041,8,87,[2:0],3.20,2.5,0.22,12-23 04:45,滚
2912041,8,87,[2:0],3.00,2.5,0.24,12-23 04:45,滚
2912041,8,87,[2:0],2.90,2.5,0.25,12-23 04:45,滚
2912041,8,87,[2:0],3.00,2.5,0.24,12-23 04:45,滚
2912041,8,86,[2:0],2.80,2.5,0.26,12-23 04:44,滚
2912041,8,86,[2:0],2.65,2.5,0.27,12-23 04:44,滚
2912041,8,86,[2:0],2.80,2.5,0.26,12-23 04:44,滚
2912041,8,86,[2:0],2.65,2.5,0.27,12-23 04:44,滚
2912041,8,85,[2:0],2.50,2.5,0.30,12-23 04:43,滚
2912041,8,85,[2:0],2.60,2.5,0.28,12-23 04:43,滚
2912041,8,85,[2:0],2.50,2.5,0.30,12-23 04:43,滚
2912041,8,85,[2:0],2.35,2.5,0.32,12-23 04:43,滚
2912041,8,85,[2:0],2.50,2.5,0.30,12-23 04:43,滚
2912041,8,84,[2:0],2.35,2.5,0.32,12-23 04:42,滚
2912041,8,84,[2:0],2.25,2.5,0.35,12-23 04:42,滚
2912041,8,83,[2:0],1.80,2.5,0.45,12-23 04:41,滚
2912041,8,83,[2:0],1.70,2.5,0.47,12-23 04:41,滚
2912041,8,83,[2:0],2.10,2.5,0.37,12-23 04:41,滚
2912041,8,83,[2:0],2.00,2.5,0.40,12-23 04:41,滚
2912041,8,83,[2:0],2.10,2.5,0.37,12-23 04:41,滚
2912041,8,82,[2:0],2.00,2.5,0.40,12-23 04:40,滚
2912041,8,82,[2:0],1.90,2.5,0.42,12-23 04:40,滚
2912041,8,82,[2:0],2.00,2.5,0.40,12-23 04:40,滚
2912041,8,81,[2:0],1.55,2.5,0.52,12-23 04:39,滚
2912041,8,81,[2:0],1.90,2.5,0.42,12-23 04:39,滚
2912041,8,81,[2:0],1.80,2.5,0.45,12-23 04:39,滚
2912041,8,80,[2:0],1.70,2.5,0.47,12-23 04:38,滚
