sofascore_match_id,win007_match_id,team_id,team_name,is_home,date,competition,season,goals_scored,goals_conceded,goal_diff,total_goals,win007_handicap_early_line,win007_handicap_early_odds,win007_handicap_early_odds_opponent,win007_handicap_final_line,win007_handicap_final_odds,win007_handicap_final_odds_opponent,win007_handicap_kickoff_line,win007_handicap_kickoff_odds,win007_handicap_kickoff_odds_opponent,win007_handicap_line_change,win007_overunder_early_line,win007_overunder_early_over_odds,win007_overunder_early_under_odds,win007_overunder_final_line,win007_overunder_final_over_odds,win007_overunder_final_under_odds,win007_overunder_kickoff_line,win007_overunder_kickoff_over_odds,win007_overunder_kickoff_under_odds,win007_overunder_line_change,win007_euro_early_home_odds,win007_euro_early_draw_odds,win007_euro_early_away_odds,win007_euro_early_return_rate,win007_euro_final_home_odds,win007_euro_final_draw_odds,win007_euro_final_away_odds,win007_euro_final_return_rate,win007_euro_early_home_prob,win007_euro_early_draw_prob,win007_euro_early_away_prob,win007_euro_final_home_prob,win007_euro_final_draw_prob,win007_euro_final_away_prob,win007_euro_kelly_home,win007_euro_kelly_draw,win007_euro_kelly_away,win007_euro_home_odds_change,win007_euro_draw_odds_change,win007_euro_away_odds_change,handicap_result,overunder_result,sofascore_xG,sofascore_total_shots,sofascore_shots_on_target,sofascore_shots_inside_box,sofascore_shots_outside_box,sofascore_blocked_shots,sofascore_big_chances,sofascore_big_chances_scored,sofascore_big_chances_missed,sofascore_ball_possession,sofascore_total_passes,sofascore_accurate_passes,sofascore_pass_accuracy,sofascore_touches_in_box,sofascore_through_balls,sofascore_final_third_entries,sofascore_corner_kicks,sofascore_goalkeeper_saves,sofascore_total_saves,sofascore_goals_prevented,sofascore_tackles,sofascore_total_tackles,sofascore_tackles_won_pct,sofascore_interceptions,sofascore_clearances,sofascore_recoveries,sofascore_errors_to_shot,sofascore_duels_won_pct,sofascore_ground_duels_won,sofascore_ground_duels_pct,sofascore_aerial_duels_won,sofascore_aerial_duels_pct,sofascore_dribbles_successful,sofascore_dribbles_pct,sofascore_fouls,sofascore_yellow_cards,sofascore_long_balls_accurate,sofascore_long_balls_pct,sofascore_team_avg_rating,sofascore_team_max_rating,sofascore_team_min_rating,sofascore_team_total_shots,sofascore_team_total_xG,sofascore_team_shots_on_target,sofascore_team_total_key_passes,sofascore_team_avg_pass_accuracy,sofascore_team_total_tackles,sofascore_team_total_interceptions,sofascore_team_total_clearances,sofascore_team_total_duels_won,sofascore_team_total_duels_lost,sofascore_team_duels_win_rate,sofascore_mvp_name,sofascore_mvp_rating,sofascore_mvp_goals,sofascore_key_passer_name,sofascore_key_passer_key_passes,sofascore_key_passer_pass_accuracy,sofascore_key_defender_name,sofascore_key_defender_tackles,sofascore_key_defender_interceptions,sofascore_key_defender_rating,sofascore_key_dueler_name,sofascore_key_dueler_won,sofascore_key_dueler_lost,sofascore_key_dueler_win_rate,sofascore_key_attacker_name,sofascore_key_attacker_xG,sofascore_key_attacker_shots,sofascore_key_attacker_rating
14787860,2882536,2685,Bologna,1,2025-12-05,Coppa Italia,Coppa Italia 25/26,2.0,1.0,1.0,3.0,-1.0,0.77,1.05,-1.0,0.91,0.98,-1.0,0.79,1.09,0.0,2.5,1.01,0.79,2.25,0.93,0.95,2.5,0.92,0.96,-0.25,1.39,4.45,8.09,93.65,1.48,4.4,7.52,96.53,67.38,21.05,11.58,65.22,21.94,12.84,0.96,0.96,1.02,0.09000000000000008,-0.04999999999999982,-0.5700000000000003,0,1.0,,9.0,3.0,6.0,3.0,4.0,2.0,1.0,1.0,69.0,292.0,251.0,,30.0,0.0,52.0,6.0,1.0,1.0,,5.0,5.0,80.0,1.0,5.0,22.0,,55.0,19.0,50.0,17.0,63.0,7.0,78.0,9.0,1.0,20.0,65.0,6.85625,7.8,6.1,10,0.0,6,13,81.225,6,5,14,53,49,0.5196078431372549,Santiago Castro,7.8,1,Federico Bernardeschi,5,83.8,Jhon Lucumí,3,0,7.1,Jonathan Rowe,8,8,0.5,,,,
14787860,2882536,2690,Parma,0,2025-12-05,Coppa Italia,Coppa Italia 25/26,1.0,2.0,-1.0,3.0,1.0,1.05,0.77,1.0,0.98,0.91,1.0,1.09,0.79,0.0,2.5,1.01,0.79,2.25,0.93,0.95,2.5,0.92,0.96,-0.25,1.39,4.45,8.09,93.65,1.48,4.4,7.52,96.53,67.38,21.05,11.58,65.22,21.94,12.84,0.96,0.96,1.02,0.09000000000000008,-0.04999999999999982,-0.5700000000000003,0,1.0,,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,31.0,134.0,85.0,,10.0,0.0,11.0,0.0,3.0,3.0,,8.0,8.0,38.0,1.0,25.0,18.0,,45.0,19.0,50.0,10.0,37.0,2.0,50.0,7.0,2.0,8.0,26.0,6.61875,7.4,6.0,2,0.0,4,5,55.96875,14,1,40,49,53,0.4803921568627451,Adrian Benedyczak,7.4,1,Mathias Fjørtoft Løvik,2,45.8,Sascha Britschgi,5,0,6.7,Mariano Troilo,7,1,0.875,,,,
14025150,2789266,35,Manchester United,1,2025-12-05,Premier League,Premier League 25/26,1.0,1.0,0.0,2.0,-1.25,0.95,0.93,-1.25,1.07,0.82,-1.25,0.86,1.02,0.0,3.25,1.03,0.83,3.0,0.87,1.01,3.0,0.83,1.05,-0.25,1.45,4.73,5.95,93.53,1.41,5.25,7.45,96.72,64.51,19.77,15.72,68.59,18.42,12.98,0.95,0.99,0.99,-0.040000000000000036,0.5199999999999996,1.5,-1,-1.0,0.91,8.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,65.0,278.0,227.0,,43.0,,29.0,2.0,0.0,0.0,0.06,9.0,9.0,67.0,3.0,6.0,28.0,0.0,44.0,16.0,46.0,6.0,40.0,3.0,50.0,5.0,1.0,16.0,50.0,6.78125,8.2,5.8,13,1.8523,4,10,80.63125,19,5,17,47,64,0.42342342342342343,Noussair Mazraoui,8.2,0,Bruno Fernandes,5,81.9,Casemiro,3,1,7.3,Casemiro,11,9,0.55,Joshua Zirkzee,0.6128,1.0,5.8
14025150,2789266,37,West Ham United,0,2025-12-05,Premier League,Premier League 25/26,1.0,1.0,0.0,2.0,1.25,0.93,0.95,1.25,0.82,1.07,1.25,1.02,0.86,0.0,3.25,1.03,0.83,3.0,0.87,1.01,3.0,0.83,1.05,-0.25,1.45,4.73,5.95,93.53,1.41,5.25,7.45,96.72,64.51,19.77,15.72,68.59,18.42,12.98,0.95,0.99,0.99,-0.040000000000000036,0.5199999999999996,1.5,1,-1.0,0.49,6.0,2.0,6.0,0.0,2.0,1.0,1.0,0.0,35.0,152.0,106.0,,28.0,,34.0,2.0,2.0,2.0,-0.42,8.0,8.0,50.0,10.0,14.0,26.0,2.0,56.0,19.0,54.0,9.0,60.0,6.0,75.0,4.0,1.0,12.0,40.0,6.907142857142857,8.6,6.0,8,0.8202,3,6,54.95714285714286,15,20,39,64,47,0.5765765765765766,Aaron Wan-Bissaka,8.6,0,Aaron Wan-Bissaka,2,73.0,Soungoutou Magassa,4,5,7.7,Aaron Wan-Bissaka,11,6,0.6470588235294118,Soungoutou Magassa,0.2816,1.0,7.7
14787855,2882535,2699,Lazio,1,2025-12-05,Coppa Italia,Coppa Italia 25/26,1.0,0.0,1.0,1.0,0.25,0.94,0.88,0.25,0.93,0.96,0.25,0.9,0.98,0.0,2.25,0.89,0.91,2.25,0.92,0.96,2.0,0.89,0.99,0.0,2.68,3.36,2.57,94.35,3.45,3.1,2.38,96.84,35.21,28.08,36.71,28.07,31.24,40.69,0.99,0.95,0.96,0.77,-0.2599999999999998,-0.18999999999999995,1,-1.0,,5.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,38.0,179.0,147.0,,18.0,,11.0,4.0,2.0,2.0,,6.0,6.0,50.0,3.0,15.0,24.0,0.0,54.0,18.0,56.0,8.0,50.0,2.0,50.0,2.0,0.0,11.0,50.0,6.94375,7.7,6.2,7,0.0,4,4,85.71875,16,7,21,44,36,0.55,Mario Gila Fuentes,7.7,0,Gustav Isaksen,1,85.0,Mattia Zaccagni,1,4,7.5,Mario Gila Fuentes,7,2,0.7777777777777778,,,,
14787855,2882535,2692,Milan,0,2025-12-05,Coppa Italia,Coppa Italia 25/26,0.0,1.0,-1.0,1.0,-0.25,0.88,0.94,-0.25,0.96,0.93,-0.25,0.98,0.9,0.0,2.25,0.89,0.91,2.25,0.92,0.96,2.0,0.89,0.99,0.0,2.68,3.36,2.57,94.35,3.45,3.1,2.38,96.84,35.21,28.08,36.71,28.07,31.24,40.69,0.99,0.95,0.96,0.77,-0.2599999999999998,-0.18999999999999995,-1,-1.0,,7.0,2.0,5.0,2.0,2.0,2.0,0.0,2.0,62.0,302.0,262.0,,17.0,,42.0,2.0,1.0,1.0,,7.0,7.0,71.0,0.0,13.0,17.0,1.0,46.0,14.0,44.0,8.0,50.0,5.0,83.0,10.0,1.0,20.0,69.0,6.666666666666667,7.0,6.2,7,0.0,2,8,88.28,10,2,29,36,44,0.45,Mike Maignan,7.0,0,Pervis Estupiñán,3,88.4,Fikayo Tomori,2,0,7.0,Ruben Loftus-Cheek,7,5,0.5833333333333334,,,,
14064436,2800146,1715,Stade Brestois,1,2025-12-06,Ligue 1,Ligue 1 25/26,1.0,0.0,1.0,1.0,0.25,0.9,0.98,0.25,1.03,0.85,0.5,0.86,1.02,0.0,3.0,1.0,0.86,3.0,0.92,0.96,3.0,0.89,0.99,0.0,3.0,3.56,2.24,94.28,3.61,3.85,2.03,97.15,31.43,26.48,42.09,26.91,25.23,47.86,1.02,0.96,0.95,0.6099999999999999,0.29000000000000004,-0.2100000000000004,1,-1.0,0.08,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,36.0,115.0,74.0,,11.0,1.0,20.0,1.0,0.0,0.0,0.24,7.0,7.0,57.0,7.0,12.0,18.0,1.0,46.0,17.0,46.0,8.0,47.0,3.0,30.0,9.0,1.0,10.0,34.0,6.7333333333333325,7.4,5.5,8,1.5572000000000001,4,6,60.43333333333332,17,11,22,50,49,0.5050505050505051,Brendan Chardonnet,7.4,0,Hugo Magnetti,2,84.4,Brendan Chardonnet,3,3,7.4,Brendan Chardonnet,7,1,0.875,Remy Labeau Lascary,0.6652,1.0,6.5
14064436,2800146,1653,AS Monaco,0,2025-12-06,Ligue 1,Ligue 1 25/26,0.0,1.0,-1.0,1.0,-0.25,0.98,0.9,-0.25,0.85,1.03,-0.5,1.02,0.86,0.0,3.0,1.0,0.86,3.0,0.92,0.96,3.0,0.89,0.99,0.0,3.0,3.56,2.24,94.28,3.61,3.85,2.03,97.15,31.43,26.48,42.09,26.91,25.23,47.86,1.02,0.96,0.95,0.6099999999999999,0.29000000000000004,-0.2100000000000004,-1,-1.0,0.23,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,64.0,198.0,158.0,,19.0,0.0,32.0,3.0,0.0,0.0,0.41,9.0,9.0,67.0,5.0,12.0,22.0,1.0,54.0,20.0,54.0,9.0,53.0,3.0,43.0,8.0,2.0,11.0,41.0,6.59375,7.3,6.0,8,0.5996,2,8,81.8625,11,11,30,49,50,0.494949494949495,Lamine Camara,7.3,0,Mika Biereth,3,61.5,Caio Henrique,2,2,6.3,Lamine Camara,8,2,0.8,Mika Biereth,0.2125,2.0,6.2
14065165,2799520,2556,1. FSV Mainz 05,1,2025-12-06,Bundesliga,Bundesliga 25/26,0.0,1.0,-1.0,1.0,-0.25,0.86,1.02,0.0,0.82,1.06,0.0,1.03,0.85,0.25,2.75,0.86,1.0,2.75,0.91,0.97,2.75,1.0,0.88,0.0,2.06,3.69,3.27,94.14,2.77,3.41,2.68,97.33,45.7,25.51,28.79,35.14,28.54,36.32,0.99,0.94,0.99,0.71,-0.2799999999999998,-0.5899999999999999,-1,-1.0,0.97,8.0,2.0,7.0,1.0,1.0,2.0,,2.0,60.0,257.0,208.0,,25.0,1.0,39.0,7.0,4.0,4.0,0.44,8.0,8.0,75.0,5.0,17.0,36.0,,48.0,14.0,38.0,14.0,67.0,5.0,50.0,8.0,2.0,12.0,44.0,6.846666666666665,8.2,6.1,6,0.966,2,7,79.52,17,12,30,48,63,0.43243243243243246,Daniel Batz,8.2,0,Kaishu Sano,3,75.0,Kaishu Sano,2,5,7.8,Kaishu Sano,11,5,0.6875,Nelson Weiper,0.7797,2.0,6.3
14065165,2799520,2527,Borussia M'gladbach,0,2025-12-06,Bundesliga,Bundesliga 25/26,1.0,0.0,1.0,1.0,0.25,1.02,0.86,0.0,1.06,0.82,0.0,0.85,1.03,-0.25,2.75,0.86,1.0,2.75,0.91,0.97,2.75,1.0,0.88,0.0,2.06,3.69,3.27,94.14,2.77,3.41,2.68,97.33,45.7,25.51,28.79,35.14,28.54,36.32,0.99,0.94,0.99,0.71,-0.2799999999999998,-0.5899999999999999,1,-1.0,0.95,7.0,4.0,6.0,1.0,2.0,1.0,,1.0,40.0,172.0,122.0,,31.0,0.0,21.0,4.0,2.0,2.0,0.64,11.0,11.0,45.0,6.0,30.0,26.0,,52.0,23.0,62.0,7.0,33.0,5.0,71.0,1.0,0.0,12.0,36.0,7.023076923076923,7.5,6.5,9,1.8509,5,12,73.20000000000002,23,9,45,63,48,0.5675675675675675,Joseph Scally,7.5,0,Jens Castrop,2,72.4,Joseph Scally,4,2,7.5,Joseph Scally,10,6,0.625,Jens Castrop,0.7957,2.0,7.5
